Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
88.516376,30,37.13070296,8.354408166,7,76.218,265.864,38.009,290.7696,23404,1.982538447,0.347284879,30,13.50564563,8.508718662,26.35985494,11.94413618,4.22698899,1419.05766,55.45418877,1026.539388,14.79599049,783.5356861,112.4814953,49.74153452,115.1796652,3240.650897,88112.53698
89.339393,30,36.13244953,8.129801145,7,65.424,263.151,36.508,279.28845,20560,1.983583881,0.354497755,30,13.41097312,8.553481835,26.30135519,12.05034801,4.223290663,1425.304002,56.86968767,1031.164902,15.04410142,786.4974887,112.7045322,50.87863557,115.624433,3255.177691,85366.42469
88.809227,30,35.63617067,8.018138401,7,57.193,253.853,34.561,264.3894,18732,1.985989888,0.35935355,30,13.15895585,8.639953072,26.27457275,12.01295038,4.21303236,1432.14803,57.94202432,1036.285816,15.24080932,789.8935777,113.0869782,51.76246064,116.1379118,3271.126019,83185.29136
84.719362,30,35.19709402,7.919346155,7,76.515,243.929,35.605,272.3775,25320,1.98412204,0.36325127,30,12.85302868,8.684444057,26.27872874,11.91606265,4.207064884,1439.331752,58.87610678,1041.705472,15.431806,793.5227691,113.520155,52.59921433,116.6819149,3287.863748,88343.61667
80.138708,30,34.39841068,7.739642403,7,70.05,248.609,35.407,270.86055,23046,1.986020061,0.366106258,30,12.50648639,8.691876523,26.31558985,11.77678911,4.204446222,1446.775223,59.66046532,1047.361656,15.6113535,797.3438648,113.9832892,53.43092275,117.2507777,3305.178826,86408.65392
77.690847,30,34.11776087,7.676496196,7,64.178,247.734,34.657,265.1253,21357,1.986785474,0.367694725,30,12.1014646,8.710499777,26.37412124,11.5879288,4.199308632,1454.587362,60.25667976,1053.32629,15.76749988,801.4349429,114.498608,54.24249015,117.8605176,3323.329106,85979.56785
76.630515,30,34.65943315,7.798372459,7,66.787,243.61,34.489,263.83785,22487,1.985440492,0.368908442,30,11.68665497,8.708733677,26.44024906,11.38851269,4.196562448,1462.926687,60.81455724,1059.712694,15.93587166,805.8562536,115.0375477,55.14598762,118.5165767,3342.703301,87195.91928
77.206129,30,34.60196809,7.785442821,7,53.093,242.491,32.843,251.2467,18221,1.988624571,0.369095296,30,11.23375512,8.733800643,26.51214105,11.14536056,4.190127323,1471.19006,61.20563228,1066.07473,16.07940625,810.287888,115.5962303,56.01415156,119.1759166,3361.913411,83100.57017
78.276562,30,34.27147602,7.711082105,7,48.589,232.067,31.184,238.5576,17442,1.991357215,0.367985347,30,10.73327649,8.805995776,26.59206298,10.84017935,4.177242493,1478.793449,61.35208599,1071.975853,16.16898462,814.4078903,116.1571299,56.7487121,119.7925383,3379.605953,81991.00143
81.154606,30,34.83812126,7.838577284,7,51.669,222.927,30.511,233.4069,19246,1.993078678,0.366167685,30,10.2319506,8.875149745,26.68423733,10.50644764,4.164257946,1485.632376,61.34409828,1077.335256,16.22210193,818.1328256,116.6801565,57.41390779,120.3491243,3395.526354,82616.7668
85.628218,30,35.93753778,8.085946001,7,50.501,218.476,29.886,228.63015,19197,1.995747788,0.363608978,30,9.738604139,8.935548423,26.79275773,10.15202021,4.151640203,1491.775266,61.17939383,1082.197795,16.23632805,821.5008797,117.1705648,58.00735621,120.8507094,3409.817576,81994.13759
85.305064,30,35.88369944,8.073832374,7,51.124,215.949,29.675,227.01225,19637,1.996861107,0.360481888,30,9.264377839,8.982825804,26.91432438,9.7913567,4.140079845,1497.617722,60.90049114,1086.848632,16.2234642,824.7305926,117.6501857,58.56581311,121.3292181,3423.389926,82469.55961
83.204589,30,35.09904469,7.897285056,7,49,214.119,29.235,223.65075,19014,1.997407664,0.356993398,30,8.820360782,9.014588222,27.04153381,9.438906062,4.130254272,1503.598423,60.56099394,1091.608537,16.20096389,828.0641783,118.1424225,59.13586031,121.8203356,3437.265429,82012.58589
77.408097,30,33.65456337,7.572276759,7,46.94,211.29,28.692,219.4953,18480,1.997474763,0.353129443,30,8.404019419,9.042763614,27.16828504,9.094292527,4.120919844,1509.876832,60.16429681,1096.595817,16.17174275,831.5954406,118.6650855,59.71413912,122.3390754,3451.827902,81479.50072
75.842832,30,33.36447272,7.507006362,7,45.213,206.648,27.985,214.08225,18208,1.997601639,0.348892519,30,8.015992778,9.071944227,27.29216356,8.756862113,4.11160628,1516.327352,59.70502168,1101.719954,16.13275813,835.2563375,119.2129173,60.28534341,122.8758212,3466.799766,80928.4354
74.540141,30,33.34657861,7.502980188,7,45.476,203.928,27.712,211.9938,18547,1.997816804,0.344336536,30,7.65950223,9.100157704,27.41326658,8.427942723,4.102563683,1522.684455,59.18078084,1106.785248,16.07912646,838.8969439,119.7665325,60.83320068,123.4083151,3481.57368,80839.26607
76.29726,30,34.2772446,7.712380035,7,45.367,202.095,27.496,210.3429,18666,1.998512759,0.339543899,30,7.335675113,9.125359517,27.5314141,8.10880085,4.094065513,1528.70726,58.59625003,1111.610745,16.00739755,842.3786865,120.3074036,61.34286582,123.9160936,3495.595678,80647.17205
78.609804,30,35.25937484,7.933359339,7,45.055,200.656,27.301,208.85415,18670,1.999398186,0.334616984,30,7.042287293,9.14806038,27.644615,7.799267974,4.086160181,1534.262535,57.96403779,1116.092801,15.91749335,845.6218136,120.8256936,61.80235561,124.3877087,3508.560921,80496.47319
82.225052,30,36.37702892,8.184831507,7,44.733,199.403,27.126,207.5154,18654,2.000271449,0.329678992,30,6.777750098,9.167678745,27.74988067,7.499743948,4.079105154,1539.314128,57.30476909,1120.200373,15.81334587,848.5996647,121.3175259,62.20790319,124.819488,3520.390105,80341.45265
81.083925,30,38.17713925,8.589856332,7,56.415,199.337,28.417,217.3893,23137,1.997191086,0.325325291,30,6.584811624,9.13917637,27.84296441,7.246595948,4.079021014,1543.944382,56.72287644,1124.000168,15.7258018,851.334871,121.7496953,62.6570451,125.2112428,3531.273322,84269.33921
80.881957,30,38.14727397,8.583136644,7,56.515,205.917,29.159,223.0671,22509,1.996838032,0.321589476,30,6.457979847,9.073330905,27.91765508,7.037995669,4.084819213,1548.089875,56.22925954,1127.443112,15.6571104,853.7880999,122.1199647,63.13815699,125.558808,3541.075017,84119.9535
80.619396,30,35.70893716,8.034510861,7,56.336,210.193,29.614,226.54935,22031,1.996394756,0.318410424,30,6.37322314,9.006806312,27.96405156,6.855543403,4.092254317,1551.578458,55.80657609,1130.393808,15.59939159,855.865104,122.4343703,63.59524015,125.8520471,3549.418435,84670.27485
86.335106,30,37.76344626,8.496775409,7,58.428,213.092,30.169,230.7921,22489,1.995453012,0.316100151,30,6.34816929,8.933607597,27.97406538,6.712123956,4.102550915,1554.107846,55.50013719,1132.630515,15.56446005,857.3822819,122.6548765,64.05079634,126.0638654,3555.61939,85536.16193
87.344959,30,37.45402239,8.427155038,7,49.053,215.986,29.449,225.28335,18876,1.999093129,0.314170642,30,6.335708433,8.90053629,27.95294888,6.565987726,4.109333204,1555.221111,55.21339135,1133.807041,15.51917007,858.0968984,122.786133,64.38450153,126.1622812,3558.626889,82393.4925
89.011195,30,38.19763595,8.594468089,7,53.236,212.866,29.567,226.1868,20674,2.000015086,0.31266422,30,6.339780514,8.894500672,27.90989647,6.419624321,4.113811307,1554.686848,54.94011021,1133.753034,15.46043373,857.8737898,122.8039606,64.59846362,126.1257445,3557.889663,83843.07267
93.454504,30,40.71777184,9.161498664,7,63.453,213.65,30.789,235.53735,24145,1.999097192,0.312081743,30,6.412456472,8.854813914,27.8514794,6.321036176,4.123476692,1552.501554,54.76911533,1132.476136,15.41797482,856.6867202,122.6572211,64.81565962,125.9451705,3553.373232,86585.49012
98.337096,30,42.51798416,9.566546436,7,60.41,220.002,31.157,238.3503,22518,2.00110059,0.312048688,30,6.516866473,8.808268152,27.78534317,6.251260391,4.134339484,1549.085655,54.65335915,1130.279468,15.38056135,854.7845486,122.3964892,65.01338729,125.659203,3546.032188,85687.80696
100.674886,30,43.25224006,9.731754014,7,61.911,222.34,31.583,241.61295,22803,2.000599289,0.312628964,30,6.647499894,8.762547152,27.70746577,6.215534784,4.145566598,1545.035184,54.62071666,1127.601953,15.36161316,852.502377,122.0624597,65.23860412,125.3177918,3537.243711,86933.37324
104.108355,30,44.68618955,10.05439265,7,59.52,224.886,31.601,241.7454,21780,2.000235367,0.313866046,30,6.809987238,8.715410287,27.6152998,6.221300218,4.157572726,1540.765147,54.69537967,1124.756592,15.37427925,850.0718878,121.6793833,65.5369964,124.9547976,3527.971519,86455.73084
