Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
104.007371,30,46.38140691,10.43581656,7,50.426,153.938,22.707,173.7093,26276,4.504163575,0.122058703,30,0.299593063,8.666498167,32.04306386,0.254658632,3.974039583,1636.923036,22.81898258,1197.755313,6.535029917,917.7345732,140.8961336,25.23493624,134.3848664,3743.861874,79185.376
123.371131,30,53.14846651,11.95840497,7,54.355,171.093,25.05,191.631,25598,4.357536921,0.122176547,30,0.352470626,8.549773365,31.91124116,0.307229259,3.997185931,1633.280575,22.77886809,1194.776244,6.519349253,915.4882789,140.6565403,24.76297743,134.0919102,3735.066954,78550.50877
137.50893,30,57.6512553,12.97153245,7,64.853,185.275,27.792,212.6088,27780,4.17148586,0.123530782,30,0.434753014,8.500498388,31.71524649,0.396028584,4.014372638,1627.628924,22.93885325,1190.344915,6.56534968,912.0703064,140.2249126,24.36276831,133.6443287,3721.874281,80705.05287
149.77352,30,61.4852892,13.83419007,7,75.754,200.681,30.715,234.96975,29551,3.899057113,0.126776855,30,0.58407209,8.524844454,31.44081552,0.560670935,4.025029885,1618.841499,23.39769186,1183.666108,6.706364453,906.8293799,139.4700161,24.12155603,132.9522267,3701.778685,82479.9984
156.0143,30,63.191833,14.21816243,7,88.949,214.334,33.698,257.79045,31861,3.540524145,0.132511738,30,0.853494672,8.627988081,31.08191498,0.857677198,4.028272847,1605.922567,24.23720396,1174.006251,6.970548907,899.171956,138.2520755,24.15305591,131.93066,3672.45752,84784.82412
154.66113,30,62.7415873,14.11685715,7,96.678,230.083,36.307,277.74705,32171,3.1409664,0.141223685,30,1.313827351,8.795841281,30.64324641,1.3490213,4.025397962,1588.489923,25.51795956,1161.059798,7.377419827,888.8467722,136.4757555,24.5843206,130.5373283,3632.910365,85114.02361
145.74417,30,59.0253957,13.28071404,7,102.536,243.93,38.496,294.4959,32180,2.778671506,0.153136617,30,2.037315714,8.986759249,30.14235576,2.072444247,4.021170681,1567.063891,27.25816631,1145.17341,7.930695013,876.1197832,134.1432327,25.50825401,128.7968554,3584.179642,85125.9095
133.19189,30,53.6271069,12.06609906,7,106.178,255.77,40.216,307.6554,31869,2.50138725,0.168359011,30,3.079904149,9.141542861,29.60095277,3.035525242,4.022777648,1542.671363,29.46046738,1127.079598,8.628559958,861.5524462,131.3279137,26.9746895,126.7745146,3528.526741,84817.97911
123.254989,30,50.82939869,11.4366147,7,95.513,269.734,40.583,310.45995,28047,2.323303166,0.186005224,30,4.368160396,9.256853081,29.05668515,4.164072096,4.029320387,1517.262345,31.97821464,1108.175012,9.417312814,846.2552787,128.2531252,28.87079114,124.6252791,3470.321543,81029.69108
114.893493,30,47.99922053,10.79982462,7,91.175,273.186,40.485,309.70725,26695,2.217994624,0.205117304,30,5.789257441,9.341848411,28.53696283,5.369901761,4.038587177,1492.526825,34.66221917,1089.701427,10.24072913,831.2112912,125.1356053,31.04743063,122.4925322,3413.427866,79653.9792
105.67362,30,44.8553202,10.09244705,7,90.707,271.839,40.283,308.1642,26690,2.151624891,0.225538299,30,7.297822793,9.3689971,28.04818675,6.620155697,4.05407281,1469.272489,37.49710683,1072.2807,11.08524566,816.890906,122.0696056,33.46298944,120.4433371,3359.754681,79636.04799
98.50373,30,42.1728033,9.488880743,7,86.229,271.755,39.776,304.2864,25572,2.108836821,0.246320462,30,8.774420549,9.354790942,27.60630856,7.842262403,4.072938111,1448.762487,40.36294925,1056.859525,11.89847081,804.0555976,119.2249485,35.98359558,118.5935571,3312.237809,78528.73277
91.485316,30,40.37389036,9.084125331,7,85.708,271.04,39.639,303.2361,25496,2.078830803,0.266494426,30,10.11167092,9.321462212,27.22135838,8.971686018,4.091860056,1432.052237,43.14979616,1044.239727,12.63555067,793.3626482,116.7507004,38.48057635,117.0449671,3273.368524,78442.7296
88.758735,30,38.74120935,8.716772104,7,74.128,271.535,38.407,293.81355,22401,2.05653351,0.284757239,30,11.20254857,9.308527207,26.90184063,9.937623441,4.105319312,1419.901327,45.7046605,1035.009503,13.25240859,785.3177015,114.7809151,40.7944839,115.8791943,3244.970583,75376.7119
87.142991,30,38.64248711,8.6945596,7,87.453,263.672,39.014,298.45635,26555,2.032516717,0.301516462,30,12.09055398,9.276798845,26.63651704,10.76874412,4.119120803,1412.14689,48.1176361,1029.070695,13.78969512,779.833523,113.2774456,42.98257656,115.0813651,3226.744695,79461.12186
86.794591,30,37.84468311,8.5150537,7,85.832,266.445,39.142,299.43555,25905,2.005175105,0.316887531,30,12.79750188,9.201559688,26.42013998,11.47818949,4.136848893,1408.700319,50.43752957,1026.370981,14.2764912,776.8661751,112.2203266,45.06701455,114.6448316,3218.53465,78857.21902
87.203571,30,37.06436891,8.339483005,7,80.16,267.819,38.664,295.78185,24310,1.97821344,0.329345761,30,13.22774656,9.159214032,26.25883939,11.98543234,4.148238368,1409.336578,52.43841991,1026.756987,14.66745672,776.354076,111.6706321,46.83644809,114.5715508,3219.853786,77271.26481
88.516376,30,37.13070296,8.354408166,7,76.218,265.864,38.009,290.7696,23404,1.950986066,0.339094385,30,13.4127453,9.152846219,26.14172879,12.30264084,4.153456728,1413.182681,54.13525913,1029.583451,14.98606919,777.7924579,111.5434262,48.29458749,114.789348,3228.700556,76358.73484
89.339393,30,36.13244953,8.129801145,7,65.424,263.151,36.508,279.28845,20560,1.925809378,0.346196042,30,13.38068177,9.191836213,26.06235396,12.44258803,4.151519057,1419.14527,55.50354319,1034.036644,15.241127,780.5498356,111.735234,49.44269047,115.2073906,3242.525925,73533.27801
88.809227,30,35.63617067,8.018138401,7,57.193,253.853,34.561,264.3894,18732,1.904111065,0.350765485,30,13.16499261,9.281364306,26.0175166,12.42674566,4.141737873,1426.170227,56.51831085,1039.329165,15.4337043,784.015075,112.1390051,50.3045885,115.7365291,3258.850828,71695.59823
84.719362,30,35.19709402,7.919346155,7,76.515,243.929,35.605,272.3775,25320,1.878418312,0.354884957,30,12.90904996,9.305194652,25.99684355,12.37056079,4.139784093,1433.987739,57.49482063,1045.25248,15.64759858,787.9517795,112.6094109,51.17374477,116.3302434,3277.023986,78202.75533
80.138708,30,34.39841068,7.739642403,7,70.05,248.609,35.407,270.86055,23046,1.853096384,0.358467773,30,12.62625916,9.265338772,26.003934,12.28669874,4.145030954,1442.304869,58.4133397,1051.59134,15.87582079,792.1968745,113.1084599,52.086268,116.964622,3296.343645,76013.82769
77.690847,30,34.11776087,7.676496196,7,64.178,247.734,34.657,265.1253,21357,1.832385545,0.360161146,30,12.24213767,9.268510164,26.04050438,12.11387555,4.143222008,1450.736506,59.03571735,1058.060554,16.04871748,796.59097,113.6772625,52.8734828,117.6257949,3315.919536,74319.26599
76.630515,30,34.65943315,7.798372459,7,66.787,243.61,34.489,263.83785,22487,1.811849291,0.360968892,30,11.81486287,9.274866234,26.09488677,11.89818618,4.140200859,1459.457363,59.52617108,1064.784288,16.20721703,801.1996608,114.2815583,53.66488702,118.3189323,3336.172891,75422.21397
77.206129,30,34.60196809,7.785442821,7,53.093,242.491,32.843,251.2467,18221,1.795178242,0.360639582,30,11.33752491,9.311804546,26.16270321,11.62964577,4.1325722,1468.079024,59.82895303,1071.469264,16.33301307,805.8115949,114.9078251,54.40899362,119.0147527,3356.204514,71207.92256
78.276562,30,34.27147602,7.711082105,7,48.589,232.067,31.184,238.5576,17442,1.783186944,0.358986614,30,10.80430467,9.401371423,26.24148197,11.29794535,4.117558276,1476.124446,59.88797938,1077.753519,16.40391756,810.1624202,115.5380696,55.03876767,119.6756222,3374.905347,70395.49973
81.154606,30,34.83812126,7.838577284,7,51.669,222.927,30.511,233.4069,19246,1.771984971,0.357114465,30,10.28928538,9.465860076,26.32843502,10.96138741,4.105519704,1483.618761,59.8834529,1083.652137,16.46694941,814.2224196,116.1114944,55.70163143,120.2896245,3392.325787,72174.71117
85.628218,30,35.93753778,8.085946001,7,50.501,218.476,29.886,228.63015,19197,1.762506338,0.355058913,30,9.806818255,9.494464711,26.42631779,10.62935105,4.097686496,1490.497729,59.8203215,1089.115182,16.5205302,817.9519929,116.6195527,56.40070737,120.8496744,3408.307725,72143.3905
85.305064,30,35.88369944,8.073832374,7,51.124,215.949,29.675,227.01225,19637,1.755174764,0.35254696,30,9.34489356,9.507228042,26.53659461,10.29059447,4.091314362,1496.891671,59.65762321,1094.235374,16.54897812,821.4361244,117.0940783,57.08656753,121.3700226,3423.154699,72579.17553
83.204589,30,35.09904469,7.897285056,7,49,214.119,29.235,223.65075,19014,1.749613094,0.349523264,30,8.900668779,9.514275728,26.65712418,9.943313513,4.08517411,1503.120851,59.39865911,1099.246988,16.55218641,824.859913,117.569706,57.74718232,121.878986,3437.616895,71965.93215
77.408097,30,33.65456337,7.572276759,7,46.94,211.29,28.692,219.4953,18480,1.745598753,0.345900747,30,8.4681551,9.530010773,26.78429002,9.583972897,4.077558221,1509.393046,59.03570566,1104.301151,16.52866371,828.3464955,118.0738739,58.36267578,122.3961922,3452.184662,71431.14565
75.842832,30,33.36447272,7.507006362,7,45.213,206.648,27.985,214.08225,18208,1.742445308,0.341806505,30,8.056686074,9.550742237,26.91424065,9.222050588,4.06914122,1515.749728,58.5903262,1109.427377,16.48565797,831.9165865,118.6045604,58.94661127,122.9245509,3466.959055,71156.68371
